#IID	latitude	longitude
HGDP00511	-1.78709677419355	-11.5161290322581
HGDP00512	-1.78709677419355	-11.5161290322581
HGDP00513	-1.78709677419355	-11.5161290322581
HGDP00514	-1.78709677419355	-11.5161290322581
HGDP00515	-1.78709677419355	-11.5161290322581
HGDP00516	-1.78709677419355	-11.5161290322581
HGDP00517	-1.78709677419355	-11.5161290322581
HGDP00518	-1.78709677419355	-11.5161290322581
HGDP00519	-1.78709677419355	-11.5161290322581
HGDP00520	-1.78709677419355	-11.5161290322581
HGDP00521	-1.78709677419355	-11.5161290322581
HGDP00522	-1.78709677419355	-11.5161290322581
HGDP00523	-1.78709677419355	-11.5161290322581
HGDP00524	-1.78709677419355	-11.5161290322581
HGDP00525	-1.78709677419355	-11.5161290322581
HGDP00526	-1.78709677419355	-11.5161290322581
HGDP00527	-1.78709677419355	-11.5161290322581
HGDP00528	-1.78709677419355	-11.5161290322581
HGDP00529	-1.78709677419355	-11.5161290322581
HGDP00530	-1.78709677419355	-11.5161290322581
HGDP00531	-1.78709677419355	-11.5161290322581
HGDP00533	-1.78709677419355	-11.5161290322581
HGDP00534	-1.78709677419355	-11.5161290322581
HGDP00535	-1.78709677419355	-11.5161290322581
HGDP00536	-1.78709677419355	-11.5161290322581
HGDP00537	-1.78709677419355	-11.5161290322581
HGDP00538	-1.78709677419355	-11.5161290322581
HGDP00539	-1.78709677419355	-11.5161290322581
HGDP00665	-7.78709677419355	-4.51612903225806
HGDP00666	-7.78709677419355	-4.51612903225806
HGDP00667	-7.78709677419355	-4.51612903225806
HGDP00668	-7.78709677419355	-4.51612903225806
HGDP00669	-7.78709677419355	-4.51612903225806
HGDP00670	-7.78709677419355	-4.51612903225806
HGDP00671	-7.78709677419355	-4.51612903225806
HGDP00672	-7.78709677419355	-4.51612903225806
HGDP00673	-7.78709677419355	-4.51612903225806
HGDP00674	-7.78709677419355	-4.51612903225806
HGDP00794	11.2129032258065	-16.5161290322581
HGDP00795	11.2129032258065	-16.5161290322581
HGDP00796	11.2129032258065	-16.5161290322581
HGDP00797	11.2129032258065	-16.5161290322581
HGDP00798	11.2129032258065	-16.5161290322581
HGDP00799	11.2129032258065	-16.5161290322581
HGDP00800	11.2129032258065	-16.5161290322581
HGDP00802	11.2129032258065	-16.5161290322581
HGDP00803	11.2129032258065	-16.5161290322581
HGDP00804	11.2129032258065	-16.5161290322581
HGDP00805	11.2129032258065	-16.5161290322581
