#IID	SEX	uncorrected	lat	long	PC	Tvec_Lat	Tvec_Long
HGDP00511		74.1045293133677	74.6728875024808	0.478263460838809	5.21789838892999	-1.78709677419355	-11.5161290322581
HGDP00512		30.7449125259916	28.0351714947902	-10.3249687099269	0.693050191618242	-1.78709677419355	-11.5161290322581
HGDP00513		37.3572020678905	40.4704033176226	1.3795667609267	3.6160604656376	-1.78709677419355	-11.5161290322581
HGDP00514		31.2237236982307	47.7587349182974	4.16906107656336	5.1011588520655	-1.78709677419355	-11.5161290322581
HGDP00515		52.4161539797734	60.5950660493	-11.0691624959133	2.44952217655177	-1.78709677419355	-11.5161290322581
HGDP00516		49.7786230422308	54.743856041165	-3.24488365782195	3.47832246543591	-1.78709677419355	-11.5161290322581
HGDP00517		58.6936611591569	57.731297207541	4.25552478259195	0.983522303590541	-1.78709677419355	-11.5161290322581
HGDP00518		47.1989436524129	47.7126872417709	-4.20437935802097	-4.03538891776498	-1.78709677419355	-11.5161290322581
HGDP00519		56.9075891375895	51.2741200547412	2.17058246675214	1.77951300038593	-1.78709677419355	-11.5161290322581
HGDP00520		16.5559947385638	2.70934857569952	4.48522324557831	-2.6501062808173	-1.78709677419355	-11.5161290322581
HGDP00521		44.7759648383683	34.116665830936	-1.16776058583941	-1.46897095982241	-1.78709677419355	-11.5161290322581
HGDP00522		54.7308384202003	54.9715107945692	-4.77123518709004	5.32868293760551	-1.78709677419355	-11.5161290322581
HGDP00523		72.0673116995128	70.408273702732	-0.425725875280471	4.35196261161864	-1.78709677419355	-11.5161290322581
HGDP00524		42.1346050132319	31.1289789727677	-1.16899580393511	0.261661889424409	-1.78709677419355	-11.5161290322581
HGDP00525		47.8032607974153	30.5522965290182	5.39226497652121	5.2113281974532	-1.78709677419355	-11.5161290322581
HGDP00526		61.091197138942	61.737226008679	-7.87182279850581	-3.79884057010399	-1.78709677419355	-11.5161290322581
HGDP00527		37.7688778220174	43.0943935033251	-3.53270393198236	2.61808964231604	-1.78709677419355	-11.5161290322581
HGDP00528		61.6572565220366	59.9404898493842	-6.91459430835155	-0.225415454879687	-1.78709677419355	-11.5161290322581
HGDP00529		24.7349489778916	17.4074316029594	-6.26696271125585	0.889891385550445	-1.78709677419355	-11.5161290322581
HGDP00530		47.5889505680638	40.6563277786661	2.57805631042854	8.31623051018567	-1.78709677419355	-11.5161290322581
HGDP00531		50.5360623060226	46.1477215044211	-7.37601545205708	-1.64206389313472	-1.78709677419355	-11.5161290322581
HGDP00533		77.351303487313	76.6965166999007	-12.4527360353174	-1.89682915584467	-1.78709677419355	-11.5161290322581
HGDP00534		64.9399327664507	64.8115109008578	3.0879279917932	1.69693262013844	-1.78709677419355	-11.5161290322581
HGDP00535		63.7958774851834	64.9535265071709	-5.76881069695339	-1.95207535200477	-1.78709677419355	-11.5161290322581
HGDP00536		-6.72227200234632	-10.8391357438957	-1.33440187734048	3.35550306589036	-1.78709677419355	-11.5161290322581
HGDP00537		65.1325094485739	58.1402613372895	-3.08360094142276	9.40514896010736	-1.78709677419355	-11.5161290322581
HGDP00538		54.8502675965712	36.3621407222768	2.79425504452634	0.38789446990068	-1.78709677419355	-11.5161290322581
HGDP00539		43.7859350181663	35.4609193262914	-12.3439728955484	0.87471099479149	-1.78709677419355	-11.5161290322581
HGDP00665		18.5341750077052	20.7311759466768	-2.94214629737069	-0.197168940414438	-7.78709677419355	-4.51612903225806
HGDP00666		11.1741345249608	10.0256541949209	-7.72090349865837	-6.9697088344439	-7.78709677419355	-4.51612903225806
HGDP00667		48.2669727283212	44.6755181021579	3.99070744805514	0.315373787820297	-7.78709677419355	-4.51612903225806
HGDP00668		22.5641330408519	23.9562728746953	-3.80931343067678	-11.7884149199299	-7.78709677419355	-4.51612903225806
HGDP00669		39.6807447542389	31.5915660468556	-7.01343443732602	-2.11419473130664	-7.78709677419355	-4.51612903225806
HGDP00670		31.1432181135716	19.9346764639214	-1.62340027803109	-7.59334515424387	-7.78709677419355	-4.51612903225806
HGDP00671		44.4096473872642	34.0205850202794	1.42344292700992	2.36626086796158	-7.78709677419355	-4.51612903225806
HGDP00672		26.1891679479875	4.68881303838076	6.44985290786762	-4.51694774085592	-7.78709677419355	-4.51612903225806
HGDP00673		15.7456070140331	-3.63076324843127	14.4267884217567	-1.87748357266455	-7.78709677419355	-4.51612903225806
HGDP00674		35.4692843242647	21.5356924250433	0.495692346383441	-2.23509054367401	-7.78709677419355	-4.51612903225806
HGDP00794		63.1718661428119	64.8715213275422	-4.83548609180478	-5.03045621627397	11.2129032258065	-16.5161290322581
HGDP00795		59.6157578489653	52.6118100323	-10.692381888127	1.01733293576746	11.2129032258065	-16.5161290322581
HGDP00796		68.9007226898956	66.2204450960157	-8.83549634846999	-3.50164194028496	11.2129032258065	-16.5161290322581
HGDP00797		53.2726124052006	51.6197090303544	-14.5535513520327	3.92037003673545	11.2129032258065	-16.5161290322581
HGDP00798		74.9356615133126	66.0188953152023	-7.65250944183446	3.7808051439519	11.2129032258065	-16.5161290322581
HGDP00799		66.7300574699247	67.0485429190915	-2.21565091889226	2.66950270794791	11.2129032258065	-16.5161290322581
HGDP00800		71.0735345730115	73.6370838149185	-8.14491905768478	-2.16406107652041	11.2129032258065	-16.5161290322581
HGDP00802		58.8570340613703	51.4899131369645	2.91299250914134	4.5330869186735	11.2129032258065	-16.5161290322581
HGDP00803		63.7698447121092	59.3540260253468	-6.87619234463532	-4.34475777112298	11.2129032258065	-16.5161290322581
